Entity Name,Group 1,Group 2,Rank,HP Variant,Max Health,Attack Damage Max,Attack Variant,Attack Damage,Movement Speed,Armor,Knockback,Cost Auto,Cost,Mob,Height,Width,Height Baby,Width Baby,Can Attack,Can Tame,Undead,Burn in the Sun,Can Revenge,Can Fly
chest_minecart,,,,,,,,,,,,0,,,0.7,0.98,,,,,,,,
command_block_minecart,,,,,,,,,,,,0,,,0.7,0.98,,,,,,,,
dragon_fireball,,,,,,,,,,,,0,,,1,1,,,,,,,,
egg,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
end_crystal,,,,,,,,,,,,0,,,2,2,,,,,,,,
ender_pearl,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
evoker_fangs,,,,,,,,,,,,0,,,0.8,0.5,,,,,,,,
experience_bottle,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
experience_orb,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
eye_of_ender,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
falling_block,,,,,,,,,,,,0,,,0.98,0.98,,,,,,,,
fireball,,,,,,,,,,,,0,,,1,1,,,,,,,,
firework_rocket,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
fishing_bobber,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
furnace_minecart,,,,,,,,,,,,0,,,0.7,0.98,,,,,,,,
glow_item_frame,,,,,,,,,,,,0,,,(Not cuboid),(Not cuboid),,,,,,,,
hopper_minecart,,,,,,,,,,,,0,,,0.7,0.98,,,,,,,,
item,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
item_frame,,,,,,,,,,,,0,,,(Not cuboid),(Not cuboid),,,,,,,,
leash_knot,,,,,,,,,,,,0,,,0.5,0.375,,,,,,,,
lightning_bolt,,,,,,,,,,,,0,,,0,0,,,,,,,,
llama_spit,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
minecart,,,,,,,,,,,,0,,,0.7,0.98,,,,,,,,
painting,,,,,,,,,,,,0,,,(Not cuboid),(Not cuboid),,,,,,,,
player,,,,,,,,,,,,0,,,1.8,0.6,,,,,,,,
potion,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
shulker_bullet,,,,,,,,,,,,0,,,0.3125,0.3125,,,,,,,,
small_fireball,,,,,,,,,,,,0,,,0.3125,0.3125,,,,,,,,
snowball,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
spawner_minecart,,,,,,,,,,,,0,,,0.7,0.98,,,,,,,,
spectral_arrow,,,,,,,,,,,,0,,,0.5,0.5,,,,,,,,
tnt,,,,,,,,,,,,0,,,0.98,0.98,,,,,,,,
tnt_minecart,,,,,,,,,,,,0,,,0.7,0.98,,,,,,,,
trident,,,,,,,,,,,,0,,,0.25,0.25,,,,,,,,
wither_skull,,,,,,,,,,,,0,,,0.3125,0.3125,,,,,,,,
